DATE	['SNWD', 'TMAX', 'TMIN', 'SNOW', 'AWND', 'WDF2', 'WDF5', 'WSF2', 'WSF5', 'WT01']
20150711	['0.0', '88', '69', '0.0', '2.46', '40', '50', '10.1', '15.0', '-9999']
20150712	['0.0', '89', '72', '0.0', '2.01', '240', '250', '6.9', '12.1', '-9999']
20150713	['0.0', '88', '73', '0.0', '2.68', '160', '180', '10.1', '18.1', '-9999']
20150714	['0.0', '82', '73', '0.0', '2.68', '160', '180', '8.1', '16.1', '1']
20150715	['0.0', '81', '72', '0.0', '4.47', '10', '10', '13.0', '21.9', '1']
20150716	['0.0', '80', '64', '0.0', '5.59', '50', '60', '15.0', '23.0', '-9999']
20150717	['0.0', '81', '67', '0.0', '3.80', '180', '190', '12.1', '21.0', '-9999']
20150718	['0.0', '85', '71', '0.0', '4.47', '260', '240', '10.1', '19.0', '1']
20150719	['0.0', '93', '78', '0.0', '3.13', '260', '260', '14.1', '21.9', '-9999']
20150720	['0.0', '94', '82', '0.0', '4.47', '270', '290', '12.1', '19.0', '-9999']
20150721	['0.0', '89', '74', '0.0', '2.46', '290', '260', '10.1', '19.0', '-9999']
20150722	['0.0', '85', '69', '0.0', '5.82', '290', '290', '14.1', '23.0', '-9999']
20150723	['0.0', '86', '68', '0.0', '3.80', '280', '280', '13.0', '19.0', '-9999']
20150724	['0.0', '87', '70', '0.0', '2.01', '40', '360', '10.1', '15.0', '-9999']
20150725	['0.0', '88', '69', '0.0', '3.13', '160', '170', '10.1', '19.0', '-9999']
20150726	['0.0', '90', '74', '0.0', '4.47', '180', '220', '12.1', '23.0', '-9999']
20150727	['0.0', '86', '71', '0.0', '2.91', '10', '30', '19.9', '21.9', '1']
20150728	['0.0', '95', '75', '0.0', '2.68', '60', '170', '8.9', '12.1', '-9999']
20150729	['0.0', '96', '78', '0.0', '3.80', '250', '260', '10.1', '17.0', '-9999']
20150730	['0.0', '87', '76', '0.0', '4.25', '220', '260', '12.1', '21.9', '1']
20150731	['0.0', '89', '72', '0.0', '3.36', '290', '250', '12.1', '18.1', '1']
20150801	['0.0', '89', '75', '0.0', '4.47', '290', '270', '14.1', '21.9', '-9999']
20150802	['0.0', '89', '71', '0.0', '2.01', '260', '250', '12.1', '17.0', '-9999']
20150803	['0.0', '90', '75', '0.0', '4.92', '250', '250', '12.1', '21.0', '-9999']
20150804	['0.0', '89', '69', '0.0', '5.37', '290', '290', '23.0', '36.9', '1']
20150805	['0.0', '87', '72', '0.0', '2.91', '300', '270', '12.1', '21.0', '-9999']
20150806	['0.0', '83', '67', '0.0', '2.46', '290', '280', '8.9', '14.1', '-9999']
20150807	['0.0', '84', '69', '0.0', '5.37', '130', '50', '13.0', '18.1', '-9999']
20150808	['0.0', '82', '68', '0.0', '3.80', '60', '70', '12.1', '15.0', '-9999']
20150809	['0.0', '85', '68', '0.0', '3.80', '80', '160', '10.1', '17.0', '-9999']
20150810	['0.0', '84', '70', '0.0', '4.47', '160', '160', '13.0', '19.9', '-9999']
20150811	['0.0', '81', '71', '0.0', '4.25', '250', '160', '12.1', '21.0', '1']
20150812	['0.0', '85', '71', '0.0', '4.70', '280', '300', '12.1', '19.0', '-9999']
20150813	['0.0', '83', '67', '0.0', '3.13', '330', '290', '10.1', '15.0', '-9999']
20150814	['0.0', '88', '67', '0.0', '2.91', '250', '180', '8.9', '18.1', '-9999']
20150815	['0.0', '92', '73', '0.0', '3.36', '250', '180', '8.1', '16.1', '-9999']
20150816	['0.0', '93', '76', '0.0', '1.57', '140', '120', '8.9', '17.0', '-9999']
20150817	['0.0', '95', '78', '0.0', '3.36', '260', '240', '10.1', '15.0', '-9999']
20150818	['0.0', '90', '73', '0.0', '4.03', '250', '240', '14.1', '25.1', '1']
20150819	['0.0', '87', '77', '0.0', '4.03', '140', '180', '12.1', '21.9', '-9999']
20150820	['0.0', '86', '77', '0.0', '5.59', '170', '170', '16.1', '25.1', '-9999']
20150821	['0.0', '87', '71', '0.0', '4.25', '340', '240', '12.1', '16.1', '1']
20150822	['0.0', '86', '69', '0.0', '4.47', '60', '50', '10.1', '16.1', '-9999']
20150823	['0.0', '85', '70', '0.0', '4.03', '120', '120', '10.1', '14.1', '-9999']
20150824	['0.0', '87', '73', '0.0', '2.46', '200', '200', '8.9', '18.1', '-9999']
20150825	['0.0', '90', '73', '0.0', '3.80', '290', '250', '10.1', '18.1', '-9999']
20150826	['0.0', '85', '67', '0.0', '3.80', '250', '240', '12.1', '19.0', '-9999']
