STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,PSUN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TSUN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,AWND,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WDF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF2,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WSF5,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT01,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT06,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT02,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT04,Measurement Flag,Quality Flag,Source Flag,Time of Observation,WT08,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150131,0.00, , ,W,2400,7.1, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,26, , ,W,2400,13, , ,W,2400,12.30, , ,W,9999,310, , ,W,9999,290, , ,W,9999,23.9, , ,W,9999,44.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150201,0.03, , ,W,2400,5.9, , ,W,9999,0.3, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,36, , ,W,2400,20, , ,W,2400,3.80, , ,W,9999,250, , ,W,9999,260, , ,W,9999,12.1, , ,W,9999,17.0, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150202,1.02, , ,W,2400,7.1, , ,W,9999,5.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,34, , ,W,2400,14, , ,W,2400,9.84, , ,W,9999,70, , ,W,9999,310, , ,W,9999,21.9, , ,W,9999,32.0, , ,W,9999,1, , ,W,9999,1, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150203,0.00, , ,W,2400,7.9, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,26, , ,W,2400,13, , ,W,2400,7.16, , ,W,9999,310, , ,W,9999,310, , ,W,9999,17.0, , ,W,9999,27.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150204,0.00, , ,W,2400,7.9, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,43, , ,W,2400,24, , ,W,2400,4.25, , ,W,9999,260, , ,W,9999,250, , ,W,9999,13.0, , ,W,9999,19.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150205,0.00, , ,W,2400,7.9, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,42, , ,W,2400,14, , ,W,2400,8.50, , ,W,9999,360, , ,W,9999,310, , ,W,9999,19.9, , ,W,9999,30.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150206,0.00, , ,W,2400,7.9, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,27, , ,W,2400,12, , ,W,2400,7.16, , ,W,9999,270, , ,W,9999,240, , ,W,9999,17.0, , ,W,9999,25.9, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150207,0.02, , ,W,2400,7.9, , ,W,9999,0.0,T, ,W,9999,-9999, , , ,9999,-9999, , , ,9999,40, , ,W,2400,25, , ,W,2400,3.80, , ,W,9999,260, , ,W,9999,250, , ,W,9999,12.1, , ,W,9999,18.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150208,0.00, , ,W,2400,7.9, , ,W,9999,0.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,37, , ,W,2400,29, , ,W,2400,8.50, , ,W,9999,70, , ,W,9999,60, , ,W,9999,18.1, , ,W,9999,25.9, , ,W,9999,1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150209,0.09, , ,W,2400,7.9, , ,W,9999,0.0,T, ,W,9999,-9999, , , ,9999,-9999, , , ,9999,29, , ,W,2400,25, , ,W,2400,10.96, , ,W,9999,60, , ,W,9999,50, , ,W,9999,19.9, , ,W,9999,29.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
GHCND:USW00094728,NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US,39.6,40.77889,-73.96917,20150210,0.01, , ,W,2400,7.9, , ,W,9999,0.1, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,40, , ,W,2400,26, , ,W,2400,10.51, , ,W,9999,30, , ,W,9999,30, , ,W,9999,18.1, , ,W,9999,28.0, , ,W,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,1, , ,W,9999
